Je veux m'marier François Margotte ,"LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1026/1/500778.m4a
Je veux t'aimer toujours I'll be walkin' with my honey ,"Parent, Lionel, 1905-1980",1946,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1027/1/503035.m4a
Je vous aime et voilà tout À Parthenay ,"Desmarteau, Alexandre, 1885-1926",1921,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1028/1/503345.m4a
Jeanne D'Arc  [enregistrement sonore] ,"Dalberty, Charles",1919,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1029/1/495481a.m4a
Jeanne d'Arc au bûcher Choeur des soldats ,Quatuor Canadien,1922,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1030/1/503519.m4a
Jeannine au temps des lilas  [enregistrement sonore] ,"Lapierre, Arthur",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1031/1/497365a.m4a
"Jeannine au temps des lilas sur l'air de ""Jeannine, I dream of lilac time"" ","Beauchemin, Georges, 1891-1957",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1032/1/497489a.m4a
Jésus de Nazareth La Vierge à la crèche ,"Gounod, Charles, 1818-1893",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1033/1/502414a.m4a
La jeune Timire  [enregistrement sonore] ,"Daignault, Eugène, 1895-1960",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1034/1/498476.m4a
Jing a bula jing jing chanson de genre ,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1035/1/494737a.m4a
La joie du soldat Soldier's joy ; Cotillon à huit ,"Allard, Joseph, 1873-1947",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1036/1/501418.m4a
Joli tambour C'était Anne de Bretagne ,"Marier, Albert, 1895-1971","1942, 1929","1 disque : analogique, 78 r/min ; 18 cm",http://collections.banq.qc.ca/bitstream/52327/1037/1/499046a.m4a
La jolie aventure  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1919,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1038/1/494546a.m4a
"Les jolis yeux de Suzon Chantez, chantez, grand'mère ","Duprat, Armand",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1039/1/502360.m4a
Jonas dans la baleine  [enregistrement sonore] ,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1040/1/498361a.m4a
"Jonas dans la baleine En pli, en plein ","Légaré, Ovila, 1901-1978",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1041/1/498660.m4a
"Joséphine Va vite, ma vieille ","Daignault, Eugène, 1895-1960",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1042/1/498415a.m4a
"Jouannine parodie sur ""Jeannine"" ","Tremblay, J.R., Mme, 1885-1970",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1043/1/503344.m4a
Le Jour de l'an Le bas de Noël ,"Bolduc, Édouard, Mme, 1894-1941",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1044/1/503160.m4a
Le Jour de l'an New year's day ,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1045/1/498355a.m4a
Les joyeuses Québécoises reel ,"Bouchard, Jos, 1905-1979","1948, 1938","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1046/1/501325a.m4a
Le jupon d'Angèle  [enregistrement sonore] ,"Daignault, Eugène, 1895-1960",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1047/1/498617.m4a
Jusqu'au dernier jour Till the end of time ,"Aubert, Jacques, musicien",1945,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1048/1/502797a.m4a
Là où le Mississippi Where the Mississippi flows ,"Bézazian, Torcom",1922,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1049/1/496251a.m4a
Laisse-moi si tu m'aimes  [enregistrement sonore] ,"Mousseau, Roméo",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1050/1/502304a.m4a
"Laisse-moi t'aimer sur l'air de ""Let me call you sweetheart"" ","Pellerin, Hector, 1887-1953",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1051/1/495053a.m4a
Laisse-moi te dire sur l'air de Let me call you sweetheart ,"Lavoie, Hercule",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1052/1/498841a.m4a
Lancier (galop) 5ème partie ; Reel Pointe-au-Pic ,"Bouchard, Jos, 1905-1979","1952, 1938","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1053/1/501324.m4a
Larmes d'amour  [enregistrement sonore] ,"Belleval, J.F. de (Joséphat Fournier de)",1923,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1054/1/496834a.m4a
Larmes d'amour Les feuilles sont mortes ,"Larochelle, Émile, 1891-1958",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1055/1/503431a.m4a
Laura  [enregistrement sonore] ,"Robi, Alys, 1923-2011",1944,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1056/1/503123.m4a
La légende des flots bleus  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1918,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1057/1/494467a.m4a
La légende des nations Chante ma bergère ,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1058/1/498373a.m4a
Lenora  [enregistrement sonore] ,"Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1059/1/497655a.m4a
La lettre le temps d'aimer ,"Hahn, Reynaldo, 1875-1947",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1060/1/503427a.m4a
La lettre d'un soldat canadien La réponse à la lettre d'un soldat canadien ,"Rémia, José",1942,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1061/1/503469.m4a
Lilas-blanc Le couteau ,"Botrel, Théodore, 1868-1925",1922,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1062/1/502392a.m4a
Lili Marlene Dolorès ,"Aubert, Jacques, musicien",1947,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1063/1/502800.m4a
Lily Marlene Tout passe dans la vie ,"L'Herbier, Robert, 1921-2008",1947,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1064/1/503190a.m4a
"Loin des guitares du film ""Au son des guitares"" ","Scotto, Vincent, 1876-1952",1937,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1065/1/502562a.m4a
Le long du corridor  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1066/1/495007b.m4a
Le long du St. Laurent  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1067/1/494574a.m4a
Lord Jonas Le pendu ,"Gauthier, Conrad, 1885-1964",1931,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1068/1/498387a.m4a
Lorsqu'en mon coeur l'amour est venu When love comes stealing ,"Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1069/1/497638a.m4a
Le loup de mer  [enregistrement sonore] ,"Borel-Clerc, Charles, 1879-1959",1922,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1070/1/496252a.m4a
Le loup de mer  [enregistrement sonore] ,"Borel-Clerc, Charles, 1879-1959",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1071/1/495469a.m4a
Ma Canadienne  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1072/1/494581.m4a
Ma chanson du Nil My song of the Nile ,"Cartier, Jean",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1073/1/497691.m4a
Ma grosse Julie chansonnette comique ,"Vérande, Louis, environ 1865-",1910,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1074/1/503313.m4a
Ma Loulou-- mon amour  [enregistrement sonore] ,"Belleval, J.F. de (Joséphat Fournier de)",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1075/1/496961a.m4a
Ma maîtresse a du cragrin [sic] En faisant le tour de la montagne ,"LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1076/1/498466a.m4a
"Ma mie jolie sur l'air de ""Old pal, why don't you answer me?"" ","Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1077/1/494941a.m4a
Ma poupée chérie My dolly dear ,"Larochelle, Émile, 1891-1958",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1078/1/503429a.m4a
